Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2012,26.9,30.5,41.1,47,56.6,63.2,71.3,70.8,59.9,52.9,38,32,49.2
2013,25.4,28,34.8,44.2,54.1,64.8,71.6,67.7,59.8,51,37.4,24.3,46.9
2014,21.4,22.1,27,43.3,54.7,64.1,69.8,66.7,60.1,54.5,38.8,33.7,46.4
2015,21.1,13.8,30.2,44.7,59.5,61.4,69.1,70.3,65.3,49,42.5,37.9,47.1
2016,27,28.8,37.8,42.7,54.7,63.7,71.2,71.8,63.8,50.4,41.5,28.1,48.5
2017,29.8,28.7,28.8,46.7,52.9,65,69,67.7,64.6,56.1,38.4,23.3,47.6
2018,21.9,31.6,34,41.8,57.4,63.5,70.9,72.2,63.6,47.8,35.6,29.7,47.5
2019,23.4,26,32,44.7,53,62.8,73.1,69,61.1,51.8,35.7,30.8,46.9
2020,29.8,29.8,39,42.5,54.4,66.2,73.7,71.6,63.4,49.5,42.1,31.2,49.4
2021,27.8,25.6,34.9,45.7,55.9,68.9,67.3,70.9,63.3,53.9,39.8,32.1,48.8
2022,20.6,27.7,35.7,44.9,55.7,62.9,72.2,72.1,60.3,51,43.2,M,49.7
